Postcode,OS X,OS Y
BR3 1AG,537275,169398
BR3 3LA,537350,169306
BR3 4DF,536086,168458
CR0 1NA,532306,165280
CR0 1NF,532365,165028
CR0 1QD,532342,165377
CR0 1RG,532240,165452
CR0 2BW,532781,166444
CR0 2DW,533008,167177
CR0 2EF,532704,166276
CR0 2QA,532563,167724
CR0 2QD,532359,167576
CR0 2SS,531542,167084
CR0 4HA,532070,164886
CR0 6BE,533079,166183
CR0 6BR,533129,166074
CR0 6PU,533582,166248
CR0 6TP,533242,166214
CR7 6AW,531239,167892
CR7 7EP,531973,167665
CR7 7JJ,532153,168234
CR7 8LE,532714,168302
CR7 8RY,532498,168334
E1 0LA,535205,181287
E1 0ND,536058,181238
E1 1BJ,534884,181833
E1 1BU,534890,181909
E1 1BY,534738,181859
E1 1DE,534541,181773
E1 1DT,534279,181643
E1 1LN,534063,181310
E1 2AE,534623,181605
E1 2NB,534833,181288
E1 2QA,535070,181209
E1 4AA,535695,182180
E1 4TP,535074,181974
E1 4XG,535214,182051
E1 5LJ,533961,181776
E1 6AG,533550,181756
E1 6BX,533490,181981
E1 6LY,533719,181724
E1 6LZ,533711,181868
E1 6NU,533579,182085
E1 6TD,534019,181532
E1 7EX,533646,181398
E1 7HP,533439,181667
E1 7LS,533466,181699
E1 7PT,533809,181333
E1 7RQ,533947,181422
E1 8AH,533699,181198
E1 8AZ,533991,180942
E1 8DA,533940,181177
E1 8EN,533957,181264
E10 6AE,537922,188074
E11 1NP,539503,188316
E11 3NJ,539588,185987
E11 4HL,538794,186032
E12 5BP,542008,185622
E12 5DB,541881,185957
E12 6PH,542250,184791
E13 0AD,540249,183289
E13 8EQ,540092,182088
E13 9AR,541238,183958
E14 0BB,538189,180731
E14 3BW,538509,178527
E14 3DT,538089,178257
E14 4BB,537395,180408
E14 4PH,537374,180252
E14 6JP,537158,181278
E14 7HG,536866,181108
E14 7LS,536182,181240
E14 8BP,536620,180692
E14 8BX,536573,180749
E14 8DU,536010,180916
E14 8EZ,537043,180975
E14 8JH,537127,179909
E14 9NS,538388,180046
E15 4BQ,538979,184356
E15 4NL,539302,184866
E15 4PH,539070,184202
E15 4PT,539195,183977
E16 1EN,539725,181759
E17 9LP,537903,189093
E17 9NL,537855,188970
E1W 1AP,534023,180622
E1W 2NE,534738,180016
E1W 2PN,534601,180050
E1W 2RW,534892,180273
E1W 3SP,535141,180359
E2 0AN,534695,182701
E2 0EA,534817,182689
E2 0JD,535274,182846
E2 0RY,535652,182961
E2 6LG,534493,182661
E2 8AS,533462,183634
E2 8DA,533448,182749
E2 8QY,534333,183391
E2 9BU,534828,183400
E2 9LH,534947,182856
E2 9LY,535219,183149
E3 2DA,536716,182749
E3 4QS,536331,182477
E3 5BH,536110,182922
E3 5SN,535902,183266
E3 5TH,536074,183121
E4 9PB,538712,191662
E6 1EN,542053,183753
E6 1LA,542477,183565
E6 1PW,541540,183278
E6 2JA,542369,184227
E6 3BD,541936,183350
E6 5LX,542887,181517
E7 0QQ,540567,185074
E7 8LJ,541063,184329
E7 8NW,541428,184515
E8 1EJ,534934,184806
E8 1EN,534915,184816
E8 3BH,534295,184554
E8 3PE,534762,184319
E8 4QJ,534536,183745
E9 7HJ,535727,183885
EC1A 4ER,532170,181454
EC1A 7AA,531821,181407
EC1A 7JA,532021,181767
EC1A 7JQ,531940,181734
EC1A 9DE,531799,181481
EC1A 9DY,531880,181713
EC1A 9EJ,531931,181743
EC1A 9JU,531775,181646
EC1A 9LB,531750,181642
EC1A 9PT,531732,181700
EC1M 4DE,531669,182060
EC1M 4DR,531775,182017
EC1M 5NA,531674,181950
EC1M 6AW,531859,181875
EC1M 6BH,531767,181811
EC1M 6BP,531710,181823
EC1M 6DB,531629,181855
EC1M 6DR,531773,181837
EC1M 6EB,532047,181912
EC1M 6HW,531850,181860
EC1N 6SJ,531402,181631
EC1N 7TR,531253,181949
EC1N 8HX,531338,182001
EC1N 8JJ,531255,181958
EC1N 8PQ,531333,181722
EC1N 8QS,531451,181830
EC1R 0AG,531444,182253
EC1R 0DY,531497,182177
EC1R 0EG,531547,182175
EC1R 0HA,531599,182271
EC1R 1UY,531467,182944
EC1R 3AN,531431,182157
EC1R 3BL,531359,182185
EC1R 3DJ,531265,182157
EC1R 4QL,531280,182492
EC1R 4RL,531198,182492
EC1R 5DU,531159,182055
EC1R 5ET,531173,182148
EC1V 0DH,531889,182193
EC1V 0DX,531813,182196
EC1V 2QH,532515,182725
EC1V 4JP,531634,182177
EC1V 4NJ,531481,183097
EC1V 4PH,531676,182495
EC1V 7DT,531923,182519
EC1V 8AB,532149,182433
EC1V 9AQ,532167,182278
EC1V 9NU,532658,182636
EC1Y 1BD,532784,182382
EC1Y 4SA,532529,181933
EC1Y 8JH,532407,182113
EC2A 2ER,532961,181912
EC2A 3BX,533245,182557
EC2A 3JL,533130,182489
EC2A 3PE,533214,182566
EC2A 3SQ,533282,182535
EC2A 4JB,533134,182182
EC2A 4NE,533034,182461
EC2A 4RD,533154,182403
EC2M 2TE,532948,181793
EC2M 3TH,533220,181516
EC2M 4NR,533359,181631
EC2M 6SA,532705,181592
EC2M 6SJ,532707,181618
EC2M 7NX,533076,181583
EC2M 7QN,533232,181570
EC2N 2AN,532899,181309
EC2V 5BT,532599,181383
EC2V 8DP,532432,181212
EC2Y 9AE,532688,181677
EC3A 5AY,533393,181173
EC3A 7BH,533247,181385
EC3A 8AH,533237,181231
EC3A 8EP,533301,181252
EC3M 7AN,533094,180996
EC3M 7HR,533096,180975
EC3N 1AL,533713,181220
EC3N 2AE,533409,180902
EC3N 2LJ,533629,180954
EC3R 5AQ,533271,180706
EC3R 6DB,532874,180746
EC3R 7NB,533359,180859
EC3R 8BU,533055,180692
EC3V 0AS,533026,181008
EC3V 0BP,533003,180866
EC3V 0DN,533040,181063
EC3V 1LR,533095,181047
EC3V 9BJ,532892,180929
EC3V 9DS,532939,181081
EC4A 1EP,531277,181434
EC4A 2BU,531426,181193
EC4A 2LT,531142,181139
EC4A 3BQ,531469,181384
EC4A 3JB,531470,181361
EC4A 4AB,531630,181364
EC4A 4DH,531589,181285
EC4M 7DE,531815,181170
EC4M 7DZ,531995,181242
EC4M 9BR,532357,181060
EC4M 9EH,532350,181093
EC4N 1SP,532453,181108
EC4N 4SJ,532386,181018
EC4R 0AN,532682,180850
EC4R 0AT,532690,180844
EC4R 3TE,532524,180695
EC4R 9AY,532984,180906
EC4V 2BA,532381,180953
EC4V 4EG,531684,180948
EC4V 5BH,532041,180995
EC4V 5DT,531826,181028
EC4V 5EQ,531790,181066
EC4V 6AA,531615,181136
EC4V 6AP,531615,181078
EC4V 6DE,531801,181101
EC4Y 1AA,531207,181108
EC4Y 1DE,531605,181157
EC4Y 1DG,531563,181154
EC4Y 1HT,531413,181152
EC4Y 8BH,531446,181153
EC4Y 8DT,531591,181146
EC4Y 8JJ,531472,181029
HA5 5PW,512253,189590
IG11 8TN,544486,184428
IG2 6BX,543409,188321
KT1 2PY,518498,169179
KT1 2RF,518444,168854
KT1 2SF,518385,168507
KT1 2UB,518618,168464
KT1 2UL,518567,169004
KT1 2UW,518648,169011
KT1 3DS,518828,169123
KT2 5AU,517917,170243
KT2 5EB,518295,169550
KT2 5EE,518286,169734
KT2 6HT,518690,170025
KT2 6LQ,518659,169663
KT2 6PW,519121,169707
KT2 7PX,519504,170070
KT4 7NY,521892,166332
KT6 4AG,517792,167537
KT6 4TW,518249,168029
KT7 0JP,515121,166026
KT7 0QQ,516015,167311
N1 0AX,530352,183650
N1 0PN,531523,183469
N1 0RW,531386,183349
N1 1ER,531310,184106
N1 1HW,531208,183994
N1 1QN,531671,183826
N1 1RL,531600,184430
N1 2DU,531734,184059
N1 2LY,531946,184784
N1 2NA,531738,184724
N1 2TB,532177,184417
N1 2XD,531689,184465
N1 3PB,532528,184464
N1 6AD,532755,182698
N1 6BU,533016,182862
N1 6EB,532902,182695
N1 7LB,532465,182887
N1 7TA,532306,183110
N1 8EQ,531505,183277
N1 8HD,532018,183305
N1 8JT,531987,183417
N1 8LU,531957,183906
N1 9AP,530270,183166
N1 9BL,530520,183119
N1 9DU,530451,183067
N1 9HF,531310,183162
N1 9HS,531190,183162
N1 9NL,530455,182970
N1 9RY,530535,183315
N10 3HN,528531,189555
N13 4JD,531165,192973
N16 0LA,533246,186570
N16 8RY,533051,185817
N17 6QA,533788,189994
N19 4HZ,530314,186708
N19 5DF,528839,186587
N2 0NW,527242,189204
N2 9EY,527830,189608
N2 9HR,527918,189570
N20 8NX,524931,193894
N22 6UX,530928,190366
N22 7AY,529610,190071
