Date,Configuration,Customer Postcode,Store Postcode,Retail Price,month
4/1/2013 0:00,216,KT2 7PX,W4 3PH,505,4
4/1/2013 0:05,317,EC3N 2AE,SW1P 3AU,520,4
4/1/2013 0:32,176,W1T 1HH,NW5 2QH,450,4
4/1/2013 0:43,176,SE3 0QJ,SE8 3JD,450,4
4/1/2013 0:47,61,W1W 6DL,SW1V 4QQ,430,4
4/1/2013 0:48,163,NW1 4BX,SW1P 3AU,440,4
4/1/2013 0:56,302,E14 0BB,SE1 2BN,445,4
4/1/2013 0:58,21,SE1 8SW,SW1V 4QQ,440,4
4/1/2013 1:00,73,W1U 5JN,SW1P 3AU,395,4
4/1/2013 1:03,317,W8 7SR,W10 6HQ,520,4
4/1/2013 1:03,195,KT1 2UB,SW18 1NN,450,4
4/1/2013 1:05,220,SE11 5JA,SW1V 4QQ,405,4
4/1/2013 1:12,163,W1S 1AA,SW1P 3AU,440,4
4/1/2013 1:16,310,NW1 7NB,SW1P 3AU,490,4
4/1/2013 1:35,155,E9 7HJ,E7 8NW,395,4
4/1/2013 1:35,199,SE24 0NJ,SW12 9HD,530,4
4/1/2013 1:40,152,EC1V 8AB,SW1P 3AU,445,4
4/1/2013 1:40,289,SE1 8DP,SE1 2BN,455,4
4/1/2013 1:44,340,EC1V 8AB,SE1 2BN,480,4
4/1/2013 1:56,156,WC2H 9PS,SW1V 4QQ,345,4
4/1/2013 1:57,347,W1U 1LP,SW1V 4QQ,510,4
4/1/2013 2:07,307,W2 1PU,W10 6HQ,520,4
4/1/2013 2:13,147,W1U 2QU,NW5 2QH,415,4
4/1/2013 2:16,197,W1D 4UB,SW1P 3AU,470,4
4/1/2013 2:17,294,W1T 1HJ,SW1P 3AU,465,4
4/1/2013 2:22,7,SE1 7UT,SE1 2BN,475,4
4/1/2013 2:26,23,SE22 9JA,SE1 2BN,500,4
4/1/2013 2:27,175,W1F 0TT,SW1P 3AU,500,4
4/1/2013 2:44,164,SE11 4DJ,SE1 2BN,390,4
4/1/2013 2:56,357,WC2N 6NE,SE1 2BN,575,4
4/1/2013 3:02,200,N7 0JN,N17 6QA,480,4
4/1/2013 3:04,211,TW10 5LA,W4 3PH,475,4
4/1/2013 3:04,70,EC1R 4QL,SW1P 3AU,425,4
4/1/2013 3:06,15,CR0 1RG,SW12 9HD,455,4
4/1/2013 3:08,367,SE25 4UN,SW12 9HD,615,4
4/1/2013 3:08,291,SE25 6NJ,CR7 8LE,495,4
4/1/2013 3:16,168,SE27 9ND,CR7 8LE,470,4
4/1/2013 3:22,24,EC3R 8BU,SW1P 3AU,450,4
4/1/2013 3:26,362,EC3A 5AY,E2 0RY,445,4
4/1/2013 3:28,152,EC4V 6DE,SW1P 3AU,445,4
4/1/2013 3:28,340,SE1 4HL,SE8 3JD,480,4
4/1/2013 3:33,157,SE1 1NA,E2 0RY,415,4
4/1/2013 3:37,316,SW1W 8TR,SW1V 4QQ,450,4
4/1/2013 3:50,222,E3 4QS,E2 0RY,425,4
4/1/2013 3:54,340,EC4R 3TE,SW1P 3AU,480,4
4/1/2013 4:12,319,N1 3PB,NW5 2QH,580,4
4/1/2013 4:13,78,EC3R 7NB,E2 0RY,405,4
4/1/2013 4:22,76,N17 6QA,NW5 2QH,385,4
4/1/2013 4:31,354,SE23 2NE,SW12 9HD,465,4
4/1/2013 4:34,364,W7 3TX,KT2 5AU,485,4
4/1/2013 4:38,23,SE1 2TF,SE1 2BN,500,4
4/1/2013 4:48,340,EC3A 7BH,SW1P 3AU,480,4
4/1/2013 4:50,310,W1U 4AP,SW1P 3AU,490,4
4/1/2013 4:50,14,EC4V 5DT,SW1V 4QQ,345,4
